Country,Animal,Year,Value,Log_Value
BG,DairyCows,2013 ,313.25,8.29117069932186
BG,Pigs,2014 ,553.11,9.111422615393906
BG,Sheep,2014 ,1335.28,10.382926582571239
BG,Bovines,2014 ,562.36,9.13535017064689
BG,DairyCows,2014 ,301.71,8.237018704328017
BG,Pigs,2015 ,600.07,9.22898699509974
BG,Sheep,2015 ,1331.89,10.37925922066913
BG,Bovines,2015 ,561.04,9.1319598228983
BG,DairyCows,2015 ,282.96,8.144454313926195
BG,Pigs,2016 ,616.43,9.267793265446416
BG,Sheep,2016 ,1360.09,10.409486405444767
BG,Bovines,2016 ,570.14,9.155172411693428
BG,DairyCows,2016 ,278.92,8.123707576512073
BG,Pigs,2017 ,593.15,9.212253179690862
BG,Sheep,2017 ,1316.78,10.362798613231757
BG,Bovines,2017 ,552.92,9.110926946993473
BG,DairyCows,2017 ,260.78,8.026689418978547
BG,Pigs,2018 ,654.55,9.354359591260515
BG,Sheep,2018 ,1350.03,10.398775751471774
BG,Bovines,2018 ,542.12,9.08246842187561
BG,DairyCows,2018 ,244.36,7.932864335305521
BG,Pigs,2019 ,491.81,8.941957259405214
BG,Sheep,2019 ,1280.98,10.323032235653072
BG,Bovines,2019 ,527.19,9.042179194628966
BG,DairyCows,2019 ,226.69,7.82457694049783
BG,Pigs,2020 ,592.1,9.209697043535261
BG,Sheep,2020 ,1307.77,10.352893118283564
BG,Bovines,2020 ,588.91,9.201903361224772
BG,DairyCows,2020 ,241.94,7.918505499939814
BG,Pigs,2021 ,694.66,9.440163216049063
BG,Sheep,2021 ,1199.55,10.228277578390685
BG,Bovines,2021 ,611.2,9.255500733148386
BG,DairyCows,2021 ,230.34,7.847621155793381
BG,Pigs,2022 ,601.7,9.232900546542492
BG,Sheep,2022 ,1096.4,10.098558517938413
BG,Bovines,2022 ,579.86,9.17956081124559
BG,DairyCows,2022 ,212.84,7.733625498408233
BG,Pigs,2023 ,726.94,9.505692482014974
BG,Sheep,2023 ,1085.97,10.084768533799721
BG,Bovines,2023 ,574.09,9.16513311548309
BG,DairyCows,2023 ,200.77,7.649399900872772
CH,Pigs,2012 ,1544.02,10.592475724906643
CH,Pigs,2013 ,1484.73,10.535984883649785
CH,Pigs,2014 ,1498.32,10.549130061402922
CH,Pigs,2015 ,1494.13,10.545089963040889
CH,Bovines,2015 ,1567.14,10.613918352975237
CH,DairyCows,2015 ,579.88,9.17961057050339
CH,Pigs,2016 ,1442.33,10.494185570527618
CH,Bovines,2016 ,1560.09,10.607413543754973
CH,DairyCows,2016 ,572.34,9.160728628017594
CH,Pigs,2017 ,1419.2,10.470862199413702
CH,Bovines,2017 ,1560.73,10.60800526313585
CH,DairyCows,2017 ,567.38,9.148171486651787
CH,Pigs,2018 ,1393.19,10.444176307400634
CH,Bovines,2018 ,1540.24,10.588939453655215
CH,DairyCows,2018 ,557.36,9.122465658179236
CH,Pigs,2019 ,1354.03,10.403043988399041
CH,Bovines,2019 ,1528.92,10.578297205014989
CH,DairyCows,2019 ,551.76,9.10789706166461
CH,Pigs,2020 ,1315.1,10.360956790657866
CH,Bovines,2020 ,1518.16,10.56810813012059
CH,DairyCows,2020 ,541.75,9.081483438093674
CH,Pigs,2021 ,1371.44,10.421475790846857
CH,Bovines,2021 ,1529.76,10.579089614724285
CH,DairyCows,2021 ,540.72,9.078737909181859
CH,Pigs,2022 ,1352.35,10.401252866694024
CH,Sheep,2022 ,1758.33,10.77999014279126
CH,Bovines,2022 ,1536.19,10.585140948055546
CH,DairyCows,2022 ,533.03,9.058072922821534
CH,Pigs,2023 ,1315.5,10.36139553316589
CH,Bovines,2023 ,1532.6,10.581765495476867
CH,DairyCows,2023 ,523.46,9.031935488141048
CY,Pigs,2012 ,395.21,8.62647564167678
CY,Sheep,2012 ,346.84,8.438126479550952
CY,Bovines,2012 ,56.92,5.830863756751758
CY,DairyCows,2012 ,24.2,4.596935142387232
CY,Pigs,2013 ,357.9,8.483412733529022
CY,Sheep,2013 ,314.4,8.296457407371244
CY,Bovines,2013 ,57.08,5.8349134297010385
CY,DairyCows,2013 ,24.55,4.617651119427331
CY,Pigs,2014 ,342.07,8.418147773129103
CY,Sheep,2014 ,292.98,8.194658373583895
CY,Bovines,2014 ,59.54,5.895787316463311
CY,DairyCows,2014 ,25.33,4.662775171937776
CY,Pigs,2015 ,358.06,8.484057549469535
CY,Sheep,2015 ,296.86,8.213638902198852
CY,Bovines,2015 ,58.86,5.87921563716567
CY,DairyCows,2015 ,26.19,4.710944154575872
CY,Pigs,2016 ,352.61,8.461929579764167
CY,Sheep,2016 ,304.19,8.248828916185118
CY,Bovines,2016 ,63.14,5.9804823555382605
CY,DairyCows,2016 ,28.46,4.830863756751758
CY,Pigs,2017 ,350.16,8.451870478864322
CY,Sheep,2017 ,321.49,8.328630052756305
CY,Bovines,2017 ,67.03,6.066735028732031
CY,DairyCows,2017 ,30.16,4.914564523493939
CY,Pigs,2018 ,362.05,8.500045140593762
CY,Sheep,2018 ,310.99,8.280724380476718
CY,Bovines,2018 ,70.82,6.146084938616191
CY,DairyCows,2018 ,31.88,4.994579724215747
CY,Pigs,2019 ,351.76,8.458447627437922
CY,Sheep,2019 ,323.24,8.33646192818282
CY,Bovines,2019 ,73.97,6.208868370672949
CY,DairyCows,2019 ,35.02,5.130107178658833
CY,Pigs,2020 ,359.06,8.48808113262442
CY,Sheep,2020 ,326.33,8.350187812392148
CY,Bovines,2020 ,83.03,6.375560793169459
CY,DairyCows,2020 ,39.49,5.303415462685624
CY,Pigs,2021 ,360.59,8.49421557780828
CY,Sheep,2021 ,350.55,8.45347642461662
CY,Bovines,2021 ,84.61,6.402756279483408
CY,DairyCows,2021 ,38.92,5.282439805006387
CY,Pigs,2022 ,330.87,8.37012067812114
CY,Sheep,2022 ,343.4,8.423746229114771
CY,Bovines,2022 ,81.44,6.34766565630097
CY,DairyCows,2022 ,38.22,5.256255873202732
CY,Pigs,2023 ,309.76,8.27500704749987
CY,Bovines,2023 ,82.27,6.362294538395585
CY,DairyCows,2023 ,38.66,5.272769732436511
CZ,Pigs,2012 ,1533.81,10.582904065394185
CZ,Bovines,2012 ,1321.06,10.36748027716408
CZ,DairyCows,2012 ,367.07,8.519911400044892
CZ,Pigs,2013 ,1547.69,10.595900815414447
CZ,Bovines,2013 ,1332.08,10.379465012820118
CZ,DairyCows,2013 ,375.33,8.552015798735209
CZ,Pigs,2014 ,1606.86,10.650028522259879
CZ,Bovines,2014 ,1373.07,10.42318946155175
CZ,DairyCows,2014 ,372.39,8.540670521682939
CZ,Pigs,2015 ,1555.4,10.603069928559334
CZ,Sheep,2015 ,218.49,7.771423440756639
CZ,Bovines,2015 ,1366.33,10.41609025428249
CZ,DairyCows,2015 ,369.06,8.527711571550041
CZ,Pigs,2016 ,1479.28,10.53067943809874
CZ,Bovines,2016 ,1339.6,10.387586565819353
CZ,DairyCows,2016 ,367.31,8.520854363693521
CZ,Pigs,2017 ,1531.69,10.580908623231876
CZ,Bovines,2017 ,1366.36,10.41612193065356
CZ,DairyCows,2017 ,365.46,8.513569700030107
CZ,Pigs,2018 ,1507.58,10.558018845686911
CZ,Bovines,2018 ,1365.24,10.414938874176519
CZ,DairyCows,2018 ,358.6,8.486231677981012
CZ,Pigs,2019 ,1508.91,10.55929104253074
CZ,Sheep,2019 ,213.07,7.735183667465826
CZ,Bovines,2019 ,1367.05,10.416850295296522
CZ,DairyCows,2019 ,361.43,8.49757244986474
CZ,Pigs,2020 ,1546.02,10.594343267388096
CZ,Bovines,2020 ,1340.04,10.388060350225986
CZ,DairyCows,2020 ,357.01,8.479820675088916
CZ,Pigs,2021 ,1493.44,10.544423562189419
CZ,Bovines,2021 ,1359.42,10.408775537901017
CZ,DairyCows,2021 ,362.35,8.501240084097379
CZ,Pigs,2022 ,1328.82,10.37592997716568
CZ,Sheep,2022 ,174.2,7.444600813711502
CZ,Bovines,2022 ,1390.49,10.441377653940512
CZ,DairyCows,2022 ,356.65,8.478365163336056
CZ,Pigs,2023 ,1362.28,10.411807546818707
CZ,Bovines,2023 ,1369.59,10.419528357779061
CZ,DairyCows,2023 ,357.66,8.482444968917259
DE,Pigs,2012 ,28331.41,14.79011478322055
DE,Sheep,2012 ,1641.01,10.680368315047199
DE,Bovines,2012 ,12506.77,13.610421626554054
DE,DairyCows,2012 ,4190.49,12.032903234848721
DE,Pigs,2013 ,28133.26,14.779989117176362
DE,Sheep,2013 ,1569.96,10.616512086749193
DE,Bovines,2013 ,12685.99,13.630948489598431
DE,DairyCows,2013 ,4267.61,12.05921262465423
DE,Pigs,2014 ,28338.99,14.790500721151998
DE,Sheep,2014 ,1600.78,10.644559332230108
DE,Bovines,2014 ,12742.19,13.637325634428764
DE,DairyCows,2014 ,4295.68,12.068670810665099
DE,Pigs,2015 ,27652.42,14.755118122910808
DE,Sheep,2015 ,1579.79,10.625517079713715
DE,Bovines,2015 ,12635.46,13.625190566795224
DE,DairyCows,2015 ,4284.64,12.06495827732352
DE,Pigs,2016 ,27376.06,14.740627206441765
DE,Sheep,2016 ,1574.27,10.620467280561847
DE,Bovines,2016 ,12466.59,13.60577927672517
DE,DairyCows,2016 ,4217.7,12.042240766255407
DE,Pigs,2017 ,27577.57,14.75120771880165
DE,Sheep,2017 ,1579.79,10.625517079713715
DE,Bovines,2017 ,12281.2,13.58416391334114
DE,DairyCows,2017 ,4199.01,12.035833508637168
DE,Pigs,2018 ,26445.4,14.690729176583154
DE,Sheep,2018 ,1569.9,10.616456949448509
DE,Bovines,2018 ,11949.09,13.544613131439405
DE,DairyCows,2018 ,4100.86,12.001710776741419
DE,Pigs,2019 ,26053.4,14.669184037775317
DE,Sheep,2019 ,1556.5,10.604089861469179
DE,Bovines,2019 ,11639.53,13.506745183469265
DE,DairyCows,2019 ,4011.67,11.96998721938972
DE,Pigs,2020 ,26069.9,14.670097428484262
DE,Sheep,2020 ,1483.7,10.534983697196507
DE,Bovines,2020 ,11301.86,13.464272602805226
DE,DairyCows,2020 ,3921.41,11.93715677427061
DE,Pigs,2021 ,23762.3,14.536386863752158
DE,Sheep,2021 ,1508.1,10.558516379529161
DE,Bovines,2021 ,11039.66,13.430408120155812
DE,DairyCows,2021 ,3832.72,11.904152890322935
DE,Pigs,2022 ,21366.3,14.38304947782267
DE,Sheep,2022 ,1516.9,10.566910265263916
DE,Bovines,2022 ,10996.96,13.42481713974731
DE,DairyCows,2022 ,3809.72,11.895469253652166
DE,Pigs,2023 ,21223.7,14.373388567674457
DE,Sheep,2023 ,1559.7,10.60705284571512
DE,Bovines,2023 ,10836.2,13.40357130577173
DE,DairyCows,2023 ,3712.82,11.858299658728397
DK,Pigs,2012 ,12281.0,13.584140418783798
DK,Bovines,2012 ,1607.0,10.650154213675094
DK,DairyCows,2012 ,579.0,9.177419537989236
DK,Pigs,2013 ,12402.0,13.598285174146604
DK,Bovines,2013 ,1583.0,10.62844554013718
DK,DairyCows,2013 ,567.0,9.147204924942228
DK,Pigs,2014 ,12709.0,13.633562896768938
DK,Bovines,2014 ,1553.0,10.600842114387302
DK,DairyCows,2014 ,547.0,9.095397022792557
DK,Pigs,2015 ,12702.0,13.632768054728745
DK,Sheep,2015 ,144.95,7.179411523174035
DK,Bovines,2015 ,1566.0,10.612868497291041
DK,DairyCows,2015 ,570.0,9.154818109052105
DK,Pigs,2016 ,12281.0,13.584140418783798
DK,Bovines,2016 ,1554.0,10.60177078840771
DK,DairyCows,2016 ,565.0,9.14210705730255
DK,Pigs,2017 ,12832.0,13.64745842645492
DK,Bovines,2017 ,1558.0,10.605479518061669
DK,DairyCows,2017 ,575.0,9.167418145831737
DK,Pigs,2018 ,12642.0,13.625937099538463
DK,Bovines,2018 ,1530.0,10.579315937580015
DK,DairyCows,2018 ,570.0,9.154818109052105
DK,Pigs,2019 ,12728.0,13.635718120331047
DK,Sheep,2019 ,138.01,7.108628996109463
DK,Bovines,2019 ,1500.0,10.550746785383243
DK,DairyCows,2019 ,563.0,9.13699111208023
DK,Pigs,2020 ,13391.0,13.708976080403717
DK,Bovines,2020 ,1500.0,10.550746785383243
DK,DairyCows,2020 ,565.0,9.14210705730255
DK,Pigs,2021 ,13152.0,13.682994583681683
DK,Bovines,2021 ,1480.0,10.531381460516313
DK,DairyCows,2021 ,559.0,9.12670447284319
DK,Pigs,2022 ,11541.0,13.494480615017771
DK,Sheep,2022 ,132.51,7.049957427986585
DK,Bovines,2022 ,1466.0,10.517669388133811
DK,DairyCows,2022 ,556.0,9.118941072723507
DK,Pigs,2023 ,11368.0,13.47269083924278
DK,Bovines,2023 ,1434.87,10.486704318530895
DK,DairyCows,2023 ,546.83,9.09494858353065
EE,Pigs,2012 ,375.1,8.551131452774108
EE,Bovines,2012 ,246.0,7.94251450533924
EE,DairyCows,2012 ,96.8,6.596935142387232
EE,Pigs,2013 ,358.7,8.486633935070163
EE,Bovines,2013 ,261.4,8.030115330908071
EE,DairyCows,2013 ,97.9,6.613236954716332
EE,Pigs,2014 ,357.9,8.483412733529022
EE,Bovines,2014 ,264.7,8.048214384608036
EE,DairyCows,2014 ,95.6,6.578938713093386
EE,Pigs,2015 ,304.5,8.250298417906333
EE,Sheep,2015 ,85.9,6.424586226251101
EE,Bovines,2015 ,256.2,8.001126665454285
EE,DairyCows,2015 ,90.6,6.501439145158873
EE,Pigs,2016 ,265.9,8.054739966970304
EE,Bovines,2016 ,248.2,7.955359305242994
EE,DairyCows,2016 ,86.1,6.427941332509482
EE,Pigs,2017 ,289.1,8.175424798589686
EE,Bovines,2017 ,250.9,7.970968660521811
EE,DairyCows,2017 ,86.4,6.4329594072761065
EE,Pigs,2018 ,290.4,8.181897643108389
EE,Bovines,2018 ,251.9,7.976707311846879
EE,DairyCows,2018 ,85.2,6.412781525338476
EE,Pigs,2019 ,301.6,8.236492618381302
EE,Sheep,2019 ,73.1,6.191799501065075
EE,Bovines,2019 ,254.0,7.9886846867721655
EE,DairyCows,2019 ,85.0,6.409390936137702
EE,Pigs,2020 ,316.6,8.306517445249819
EE,Bovines,2020 ,253.3,7.9847032668251385
EE,DairyCows,2020 ,84.3,6.39746072605472
EE,Pigs,2021 ,308.0,8.266786540694902
EE,Bovines,2021 ,250.8,7.970393537914677
EE,DairyCows,2021 ,83.7,6.387155717662981
EE,Pigs,2022 ,269.38,8.073498932290182
EE,Sheep,2022 ,63.1,5.979568100095187
EE,Bovines,2022 ,249.62,7.9635897199078745
EE,DairyCows,2022 ,83.74,6.3878450129655775
EE,Pigs,2023 ,274.96,8.103077946597573
EE,Bovines,2023 ,241.36,7.915042791371977
EE,DairyCows,2023 ,83.35,6.381110294099054
EL,Pigs,2012 ,1044.0,10.027905996569885
EL,Sheep,2012 ,9213.0,13.16945529769703
EL,Bovines,2012 ,685.0,9.419960177847889
EL,DairyCows,2012 ,132.0,7.044394119358453
EL,Pigs,2013 ,1031.0,10.00982861736811
EL,Sheep,2013 ,9356.0,13.191676146352428
EL,Bovines,2013 ,653.0,9.350939181546432
EL,DairyCows,2013 ,130.0,7.022367813028454
EL,Pigs,2014 ,1046.0,10.030667136246942
EL,Sheep,2014 ,9072.0,13.147204924942228
EL,Bovines,2014 ,659.0,9.364134655008051
EL,DairyCows,2014 ,135.0,7.076815597050831
EL,Pigs,2015 ,877.0,9.776433032444734
EL,Sheep,2015 ,8852.0,13.11178773580101
EL,Bovines,2015 ,582.0,9.184875342908283
EL,DairyCows,2015 ,111.0,6.794415866350106
EL,Pigs,2016 ,743.0,9.537218400538595
EL,Sheep,2016 ,8739.0,13.093252486861505
EL,Bovines,2016 ,554.0,9.113742166049189
EL,DairyCows,2016 ,106.0,6.727920454563199
EL,Pigs,2017 ,744.0,9.539158811108031
EL,Sheep,2017 ,8593.0,13.068946179648783
EL,Bovines,2017 ,556.0,9.118941072723507
EL,DairyCows,2017 ,97.0,6.599912842187128
EL,Pigs,2018 ,721.0,9.493855449240822
EL,Sheep,2018 ,8430.0,13.041316915829444
EL,Bovines,2018 ,542.0,9.08214904135387
EL,DairyCows,2018 ,95.0,6.569855608330948
EL,Pigs,2019 ,733.0,9.517669388133811
EL,Sheep,2019 ,8427.0,13.040803409847555
EL,Bovines,2019 ,530.0,9.049848549450562
EL,DairyCows,2019 ,86.0,6.426264754702098
EL,Pigs,2020 ,743.0,9.537218400538595
EL,Sheep,2020 ,7721.8,12.914721472619037
EL,Bovines,2020 ,631.5,9.302638923787553
EL,DairyCows,2020 ,90.0,6.491853096329675
EL,Pigs,2021 ,758.9,9.567765984494724
EL,Sheep,2021 ,7690.9,12.908936718943082
EL,Bovines,2021 ,614.1,9.262329792857205
EL,DairyCows,2021 ,91.3,6.512542955096859
EL,Pigs,2022 ,741.6,9.534497433738169
EL,Sheep,2022 ,7378.4,12.84909228762457
EL,Bovines,2022 ,581.6,9.183883459032232
EL,DairyCows,2022 ,80.5,6.330916878114617
EL,Pigs,2023 ,736.8,9.525129251203973
EL,Sheep,2023 ,7251.1,12.82398415484714
EL,Bovines,2023 ,574.5,9.166163082646113
EL,DairyCows,2023 ,79.1,6.305605789585429
ES,Pigs,2012 ,25250.38,14.624017479096667
ES,Sheep,2012 ,16339.37,13.996064737855702
ES,Bovines,2012 ,5812.61,12.504970398127602
ES,DairyCows,2012 ,827.21,9.692109816026226
ES,Pigs,2013 ,25494.72,14.637910872964845
ES,Sheep,2013 ,16118.59,13.976437926828634
ES,Bovines,2013 ,5802.22,12.502389283212768
ES,DairyCows,2013 ,844.06,9.721201746320647
ES,Pigs,2014 ,26567.58,14.697379200490262
ES,Sheep,2014 ,15431.83,13.91362153513128
ES,Bovines,2014 ,6078.73,12.569554224434999
ES,DairyCows,2014 ,844.79,9.722448947013946
ES,Pigs,2015 ,28367.34,14.79194325526827
ES,Sheep,2015 ,16026.37,13.968160069168771
ES,Bovines,2015 ,6182.91,12.594070290179758
ES,DairyCows,2015 ,844.11,9.7212872054297
ES,Pigs,2016 ,29231.6,14.835241177180968
ES,Sheep,2016 ,15962.89,13.962434247351693
ES,Bovines,2016 ,6317.64,12.625170014559131
ES,DairyCows,2016 ,834.45,9.704681796087407
ES,Pigs,2017 ,29971.36,14.871296929558392
ES,Sheep,2017 ,15963.11,13.962454130388029
ES,Bovines,2017 ,6465.75,12.658602011004387
ES,DairyCows,2017 ,823.39,9.685432117134399
ES,Pigs,2018 ,30804.1,14.910834764755538
ES,Sheep,2018 ,15852.53,13.952425486612796
ES,Bovines,2018 ,6510.59,12.66857257329184
ES,DairyCows,2018 ,816.69,9.673644752438245
ES,Pigs,2019 ,31246.04,14.931385739424245
ES,Sheep,2019 ,15478.62,13.917989232950104
ES,Bovines,2019 ,6600.33,12.688322442081914
ES,DairyCows,2019 ,812.87,9.666880834385342
ES,Pigs,2020 ,32796.07,15.001235324538944
